pome,apple
soft-finned_fish,aquarium_fish
node_214,baby
node_202,bear
rodent,beaver
node_164,bed
node_190,bee
node_191,beetle
node_169,bicycle
vessel,bottle
vessel,bowl
child,boy
node_167,bridge
public_transport,bus
lepidopterous,butterfly
ungulate,camel
node_172,can
node_168,castle
lepidopterous,caterpillar
ungulate,cattle
seat,chair
primate,chimpanzee
device,clock
natural_scenes,cloud
node_192,cockroach
seat,couch
crustacean,crab
diapsid,crocodile
node_173,cup
diapsid,dinosaur
cetacean,dolphin
pachyderm,elephant
spiny-finned_fish,flatfish
node_184,forest
canine,fox
child,girl
rodent,hamster
building,house
marsupial,kangaroo
device,keyboard
device,lamp
tool,lawn_mower
feline,leopard
feline,lion
diapsid,lizard
crustacean,lobster
adult,man
tree,maple_tree
motor_vehicle,motorcycle
natural_scenes,mountain
rodent,mouse
node_222,mushroom
tree,oak_tree
citrus,orange
flower,orchid
musteline_mammal,otter
tree,palm_tree
pome,pear
motor_vehicle,pickup_truck
tree,pine_tree
natural_scenes,plain
node_174,plate
flower,poppy
rodent,porcupine
marsupial,possum
lagomorph,rabbit
procyonid,raccoon
cartilaginous_fish,ray
way,road
node_171,rocket
node_185,rose
natural_scenes,sea
node_188,seal
cartilaginous_fish,shark
insectivore,shrew
musteline_mammal,skunk
building,skyscraper
node_198,snail
diapsid,snake
node_194,spider
rodent,squirrel
public_transport,streetcar
flower,sunflower
vegetable,sweet_pepper
node_165,table
military_vehicle,tank
device,telephone
device,television
feline,tiger
motor_vehicle,tractor
public_transport,train
soft-finned_fish,trout
node_186,tulip
anapsid,turtle
node_166,wardrobe
cetacean,whale
tree,willow_tree
canine,wolf
adult,woman
node_201,worm
fruit,citrus
node_223,vegetable
food,fruit
fruit,pome
animal,aquatic_animal
aquatic_animal,fish
node_189,aquatic_mammal
node_203,rodent
node_226,artifact
root,organism
node_232,natural_scenes
node_236,food
wheeled_vehicle,military_vehicle
carnivore,musteline_mammal
node_175,furniture
furniture,seat
aquatic_mammal,cetacean
people,child
node_177,way
node_178,structure
node_180,tool
node_182,device
artifact,vehicle
node_183,container
carnivore,feline
node_204,pachyderm
bony_fish,soft-finned_fish
node_205,lagomorph
node_220,vegetation
organism,living
blooming,flower
vegetation,wooden
vegetation,blooming
people,adult
vehicle,wheeled_vehicle
wooden,tree
node_206,ungulate
reptile,anapsid
node_187,cartilaginous_fish
carnivore,canine
living,animal
animal,invertebrate
node_210,metatherian
node_211,placental
node_213,reptile
insect,lepidopterous
placental,carnivore
carnivore,procyonid
node_207,primate
node_217,people
container,vessel
reptile,diapsid
bony_fish,spiny-finned_fish
fish,bony_fish
metatherian,marsupial
wheeled_vehicle,motor_vehicle
anthropod,insect
node_208,insectivore
structure,building
invertebrate,anthropod
wheeled_vehicle,public_transport
node_195,crustacean
furniture,node_164
furniture,node_165
furniture,node_166
structure,node_167
structure,node_168
wheeled_vehicle,node_169
vehicle,node_170
node_170,node_171
container,node_172
container,node_173
container,node_174
artifact,node_175
artifact,node_176
node_176,node_177
artifact,node_178
artifact,node_179
node_179,node_180
artifact,node_181
node_181,node_182
artifact,node_183
wooden,node_184
blooming,node_185
blooming,node_186
fish,node_187
aquatic_mammal,node_188
aquatic_animal,node_189
insect,node_190
insect,node_191
insect,node_192
anthropod,node_193
node_193,node_194
anthropod,node_195
invertebrate,node_196
node_196,node_197
node_197,node_198
invertebrate,node_199
node_199,node_200
node_200,node_201
carnivore,node_202
placental,node_203
placental,node_204
placental,node_205
placental,node_206
placental,node_207
placental,node_208
animal,node_209
node_209,node_210
animal,node_211
animal,node_212
node_212,node_213
people,node_214
living,node_215
node_215,node_216
node_216,node_217
organism,node_218
node_218,node_219
node_219,node_220
food,node_221
node_221,node_222
food,node_223
root,node_224
node_224,node_225
node_225,node_226
root,node_227
node_227,node_228
node_228,node_229
node_229,node_230
node_230,node_231
node_231,node_232
root,node_233
node_233,node_234
node_234,node_235
node_235,node_236
